Hour,Seasons,Holiday,Functioning Day,Month,Rented Bike Count
Morning,Winter,No Holiday,Yes,December,254
Morning,Winter,No Holiday,Yes,December,204
Morning,Winter,No Holiday,Yes,December,173
Morning,Winter,No Holiday,Yes,December,107
Morning,Winter,No Holiday,Yes,December,78
Morning,Winter,No Holiday,Yes,December,100
Morning,Winter,No Holiday,Yes,December,181
Morning,Winter,No Holiday,Yes,December,460
Morning,Winter,No Holiday,Yes,December,930
Morning,Winter,No Holiday,Yes,December,490
Morning,Winter,No Holiday,Yes,December,339
Morning,Winter,No Holiday,Yes,December,360
Morning,Winter,No Holiday,Yes,December,449
Afternoon,Winter,No Holiday,Yes,December,451
Afternoon,Winter,No Holiday,Yes,December,447
Afternoon,Winter,No Holiday,Yes,December,463
Afternoon,Winter,No Holiday,Yes,December,484
Afternoon,Winter,No Holiday,Yes,December,555
Afternoon,Winter,No Holiday,Yes,December,862
Night,Winter,No Holiday,Yes,December,600
Night,Winter,No Holiday,Yes,December,426
Night,Winter,No Holiday,Yes,December,405
Night,Winter,No Holiday,Yes,December,398
Night,Winter,No Holiday,Yes,December,323
Morning,Winter,No Holiday,Yes,December,328
Morning,Winter,No Holiday,Yes,December,308
Morning,Winter,No Holiday,Yes,December,262
Morning,Winter,No Holiday,Yes,December,167
Morning,Winter,No Holiday,Yes,December,89
Morning,Winter,No Holiday,Yes,December,79
Morning,Winter,No Holiday,Yes,December,70
Morning,Winter,No Holiday,Yes,December,146
Morning,Winter,No Holiday,Yes,December,219
Morning,Winter,No Holiday,Yes,December,328
Morning,Winter,No Holiday,Yes,December,334
Morning,Winter,No Holiday,Yes,December,388
Morning,Winter,No Holiday,Yes,December,479
Afternoon,Winter,No Holiday,Yes,December,606
Afternoon,Winter,No Holiday,Yes,December,611
Afternoon,Winter,No Holiday,Yes,December,589
Afternoon,Winter,No Holiday,Yes,December,618
Afternoon,Winter,No Holiday,Yes,December,572
Afternoon,Winter,No Holiday,Yes,December,489
Night,Winter,No Holiday,Yes,December,385
Night,Winter,No Holiday,Yes,December,359
Night,Winter,No Holiday,Yes,December,377
Night,Winter,No Holiday,Yes,December,354
Night,Winter,No Holiday,Yes,December,366
Morning,Winter,No Holiday,Yes,December,342
Morning,Winter,No Holiday,Yes,December,227
Morning,Winter,No Holiday,Yes,December,228
Morning,Winter,No Holiday,Yes,December,117
Morning,Winter,No Holiday,Yes,December,76
Morning,Winter,No Holiday,Yes,December,32
Morning,Winter,No Holiday,Yes,December,13
Morning,Winter,No Holiday,Yes,December,22
Morning,Winter,No Holiday,Yes,December,85
Morning,Winter,No Holiday,Yes,December,152
Morning,Winter,No Holiday,Yes,December,200
Morning,Winter,No Holiday,Yes,December,273
Morning,Winter,No Holiday,Yes,December,333
Afternoon,Winter,No Holiday,Yes,December,495
Afternoon,Winter,No Holiday,Yes,December,563
Afternoon,Winter,No Holiday,Yes,December,621
Afternoon,Winter,No Holiday,Yes,December,598
Afternoon,Winter,No Holiday,Yes,December,545
Afternoon,Winter,No Holiday,Yes,December,443
Night,Winter,No Holiday,Yes,December,422
Night,Winter,No Holiday,Yes,December,397
Night,Winter,No Holiday,Yes,December,385
Night,Winter,No Holiday,Yes,December,350
Night,Winter,No Holiday,Yes,December,303
Morning,Winter,No Holiday,Yes,December,285
Morning,Winter,No Holiday,Yes,December,186
Morning,Winter,No Holiday,Yes,December,112
Morning,Winter,No Holiday,Yes,December,65
Morning,Winter,No Holiday,Yes,December,41
